system:index,LST,Latitude,Longitude,NDBI,NDVI,.geo
1280,49.170958160000055,19.90830627167667,75.24309786438326,0.06865470474265016,0.2247701340423175,"{""type"":""Point"",""coordinates"":[75.24309786438326,19.90830627167667]}"
1281,47.49100133000002,19.913682970158714,75.45669452824913,0.03695859366726676,0.2329175704989154,"{""type"":""Point"",""coordinates"":[75.45669452824913,19.913682970158714]}"
1282,45.43848032000005,19.764505231465915,75.48208433948302,0.10965630114566285,0.1325468424705066,"{""type"":""Point"",""coordinates"":[75.48208433948302,19.764505231465915]}"
1283,43.37741426000002,19.91380907406708,75.52094790378858,0.025742855116658393,0.1423582238483286,"{""type"":""Point"",""coordinates"":[75.52094790378858,19.91380907406708]}"
1284,42.01191527000003,20.040472625150507,75.31193065078267,-0.04824771963514162,0.2897223862965151,"{""type"":""Point"",""coordinates"":[75.31193065078267,20.040472625150507]}"
1285,45.83838866000002,19.970586715821433,75.2239295474645,0.0803411603664315,0.11687979539641943,"{""type"":""Point"",""coordinates"":[75.2239295474645,19.970586715821433]}"
1286,45.78540935000001,19.818191856069852,75.58423712226565,-0.08323329331732693,0.482881402355519,"{""type"":""Point"",""coordinates"":[75.58423712226565,19.818191856069852]}"
1287,42.03242339000002,19.948216771512513,75.54958266880597,0.1479725152424272,0.24209932279909707,"{""type"":""Point"",""coordinates"":[75.54958266880597,19.948216771512513]}"
1288,46.83132347000003,19.94490379855674,75.5423677369058,0.1327359866638883,0.16062465142219742,"{""type"":""Point"",""coordinates"":[75.5423677369058,19.94490379855674]}"
1289,47.749061840000024,19.79947087104111,75.36950266211984,0.12771426039173978,0.1708303592671901,"{""type"":""Point"",""coordinates"":[75.36950266211984,19.79947087104111]}"
1290,43.89524429000005,19.784129873199316,75.2963068630028,0.05844999278395151,0.027725267800882167,"{""type"":""Point"",""coordinates"":[75.2963068630028,19.784129873199316]}"
1291,41.52313841,19.929253995276326,75.49540962408433,0.10063757969746218,0.09949564419990829,"{""type"":""Point"",""coordinates"":[75.49540962408433,19.929253995276326]}"
1292,48.78813992000005,19.77221613332888,75.40592711758873,0.07702089009990917,0.2043138184403887,"{""type"":""Point"",""coordinates"":[75.40592711758873,19.77221613332888]}"
1293,42.047804480000025,19.90142186919005,75.1624368063045,-0.006371534960695076,0.25123456790123455,"{""type"":""Point"",""coordinates"":[75.1624368063045,19.90142186919005]}"
1294,44.96508455000003,19.944082641394367,75.52230936615207,0.15509718365727887,0.16840373011519474,"{""type"":""Point"",""coordinates"":[75.52230936615207,19.944082641394367]}"
1295,48.98125805000001,19.837092515434364,75.32122050070178,0.10703166935050994,0.22287562481623052,"{""type"":""Point"",""coordinates"":[75.32122050070178,19.837092515434364]}"
1296,44.14475975000005,19.85468530582918,75.22375589130573,0.08486070381231671,0.16102778746657365,"{""type"":""Point"",""coordinates"":[75.22375589130573,19.85468530582918]}"
1297,46.84328654000001,19.89627812829803,75.22403657903251,0.05236664772265974,0.12026106152221902,"{""type"":""Point"",""coordinates"":[75.22403657903251,19.89627812829803]}"
1298,45.19409188999998,19.976567100211035,75.28353046193294,0.05989940557841793,0.13817537643932684,"{""type"":""Point"",""coordinates"":[75.28353046193294,19.976567100211035]}"
1299,45.18554684000003,19.974699001648847,75.24899041372315,0.01033446072904923,0.37987948650772857,"{""type"":""Point"",""coordinates"":[75.24899041372315,19.974699001648847]}"
1300,47.398714789999985,19.947395328391156,75.47610546929401,0.07726725176389605,0.14340548032839323,"{""type"":""Point"",""coordinates"":[75.47610546929401,19.947395328391156]}"
1301,47.11843714999998,20.03885695254573,75.23459650457896,-0.020615218564490015,0.28670567424139337,"{""type"":""Point"",""coordinates"":[75.23459650457896,20.03885695254573]}"
1302,40.13884030999998,19.850301922317364,75.16688551712684,0.04164939908827186,0.1689624668267408,"{""type"":""Point"",""coordinates"":[75.16688551712684,19.850301922317364]}"
